country,year,GDP_per_capita
SMR,2004,58393.197314046898
SMR,2005,59049.550798523698
SMR,2006,60604.323539360397
SMR,2007,62776.917827582103
SMR,2008,61572.715784748099
SMR,2009,52873.244323694897
SMR,2010,49672.675358959401
SMR,2011,46450.004207019898
SMR,2012,42082.536454205598
SMR,2013,42293.467980791698
SMR,2014,42492.831738275003
SMR,2015,43146.803530200501
SMR,2016,43886.196508111403
SMR,2017,43057.758248457103
SMR,2018,42818.675595961402
SMR,2019,43525.403979817602
SMR,2020,40506.834185318301
SOM,1990,259.40002187010202
SOM,1991,277.59880235039799
SOM,1992,266.49841004271701
SOM,1993,269.40620462277701
SOM,1994,210.446194601917
SOM,1995,211.08753084179901
SOM,1996,219.93638187377999
SOM,1997,214.852351288921
SOM,1998,219.71216074946099
SOM,1999,226.444111028772
SOM,2000,233.03239308630299
SOM,2001,239.83907408808901
SOM,2002,248.636454000924
SOM,2003,257.91033723595302
SOM,2004,266.25727185655097
SOM,2005,275.45704079798298
SOM,2006,284.47078986532
SOM,2007,294.21040446660101
SOM,2008,304.74144881123698
SOM,2009,317.03818481466197
SOM,2010,329.97050493687198
SOM,2011,349.57744907771098
SOM,2012,369.61720475348898
SOM,2013,397.10879634481398
SOM,2014,417.51679690640202
SOM,2015,445.58308007339599
SOM,2016,458.92147682461001
SOM,2017,506.50109887942602
SOM,2018,498.981065013918
SOM,2019,494.44403971238398
SOM,2020,462.86705373727801
SRB,1990,
SRB,1991,
SRB,1992,
SRB,1993,
SRB,1994,
SRB,1995,3012.49816736822
SRB,1996,3200.76825835814
SRB,1997,3497.5504895711902
SRB,1998,3699.4038079648399
SRB,1999,3329.4517344385999
SRB,2000,3542.3536591484799
SRB,2001,3788.9823394739901
SRB,2002,4038.6525119744201
SRB,2003,4233.7764490608897
SRB,2004,4527.4349865945096
SRB,2005,4809.1384076488002
SRB,2006,5016.4128932225103
SRB,2007,5431.2788742662397
SRB,2008,5735.94772695749
SRB,2009,5578.0119741931003
SRB,2010,5690.7032718268201
SRB,2011,5737.0012017581103
SRB,2012,5739.3075023532001
SRB,2013,5793.3361452556501
SRB,2014,5716.5404715350596
SRB,2015,5820.3215576887997
SRB,2016,6024.9575465378402
SRB,2017,6200.2611859215203
SRB,2018,6524.08029755191
SRB,2019,6870.7581089629603
SRB,2020,6850.9674216883404
SSD,1990,
SSD,1991,
SSD,1992,
SSD,1993,
SSD,1994,
SSD,1995,
SSD,1996,
SSD,1997,
SSD,1998,
SSD,1999,
SSD,2000,
SSD,2001,
SSD,2002,
SSD,2003,
SSD,2004,
SSD,2005,
SSD,2006,
SSD,2007,
SSD,2008,2289.1841537556302
SSD,2009,2293.80166888543
SSD,2010,2295.0702609600598
SSD,2011,2073.23981819145
SSD,2012,1069.1961908093799
SSD,2013,1165.1620270749499
SSD,2014,1197.09491969479
SSD,2015,1080.1471862476501
SSD,2016,
SSD,2017,
SSD,2018,
SSD,2019,
SSD,2020,
STP,1990,967.49080750281405
STP,1991,957.94648306367901
STP,1992,946.48249510328799
STP,1993,939.60666943801903
STP,1994,943.89140429486702
STP,1995,947.331538535199
STP,1996,947.03015130996096
STP,1997,942.97118529567797
STP,1998,953.98550086390003
STP,1999,966.2268289095
STP,2000,959.93818099135206
STP,2001,973.42425210043598
STP,2002,982.32906557626995
STP,2003,1036.86196260207
STP,2004,1047.0579613488401
STP,2005,1089.1477879876199
STP,2006,1157.0861446542001
STP,2007,1170.51612474435
STP,2008,1214.1411472479199
STP,2009,1225.6054190299701
STP,2010,1216.3502521662999
STP,2011,1214.9613027673099
STP,2012,1225.6945255615001
STP,2013,1263.70423995281
STP,2014,1301.32146445028
STP,2015,1298.10946596396
STP,2016,1342.533807689
STP,2017,1375.5940328419899
STP,2018,1413.84348618541
STP,2019,1420.6600831609101
STP,2020,1430.8411929909601
SUR,1990,6474.95571162121
SUR,1991,6609.4013410012003
SUR,1992,6594.9041494915
SUR,1993,6127.1776409865797
SUR,1994,6290.1574963167895
SUR,1995,6184.2834422861997
SUR,1996,6114.8357170650897
SUR,1997,6330.1371824835296
SUR,1998,6343.5134476653602
SUR,1999,6127.3103573987501
SUR,2000,6128.3160238055298
SUR,2001,6255.5527418568699
SUR,2002,6301.3173104316702
SUR,2003,6567.8430987684696
SUR,2004,7021.9891992433804
SUR,2005,7261.8171350195998
SUR,2006,7599.3569692148103
SUR,2007,7897.2564891582797
SUR,2008,8129.1146465944603
SUR,2009,8276.6907976879302
SUR,2010,8603.9078674585508
SUR,2011,9003.2859767488608
SUR,2012,9140.9289861153593
SUR,2013,9303.4600877580906
SUR,2014,9224.2437841054707
SUR,2015,8813.6170539206705
SUR,2016,8293.3155303140593
SUR,2017,8338.6923540186199
SUR,2018,8666.6487069779705
SUR,2019,8677.3052202173094
SUR,2020,7213.1076666994304
SVK,1990,8597.4639152764503
SVK,1991,7338.7987402323197
SVK,1992,6843.3001743678196
SVK,1993,6946.8456411797597
SVK,1994,7348.9183974320003
SVK,1995,7755.6233338553002
SVK,1996,8212.8319394275604
SVK,1997,8647.3943431151692
SVK,1998,8966.2192623125193
SVK,1999,8914.6832646725506
SVK,2000,8997.2119959431893
SVK,2001,9277.35808851002
SVK,2002,9690.6846826288893
SVK,2003,10168.02256533
SVK,2004,10718.2101858841
SVK,2005,11412.159363000799
SVK,2006,12430.201548855701
SVK,2007,13770.9602691527
SVK,2008,14497.111440717201
SVK,2009,13680.753710659699
SVK,2010,14596.1477776887
SVK,2011,14950.8735178599
SVK,2012,15159.657042000401
SVK,2013,15249.8824513785
SVK,2014,15647.649176351701
SVK,2015,16442.076086001802
SVK,2016,16740.7413996428
SVK,2017,17195.288872196299
SVK,2018,17869.014917367898
SVK,2019,18250.980247563701
SVK,2020,17763.856384735202
SVN,1990,13615.5853511552
SVN,1991,12395.9173883243
SVN,1992,11735.8458123902
SVN,1993,12098.3412867237
SVN,1994,12757.6301288509
SVN,1995,13278.742855964299
SVN,1996,13674.183297426
SVN,1997,14400.670888340999
SVN,1998,14874.290478254599
SVN,1999,15646.6885879812
SVN,2000,16146.1216848394
SVN,2001,16576.715884040601
SVN,2002,17099.658209132002
SVN,2003,17635.360858183099
SVN,2004,18425.2601213581
SVN,2005,19102.2776603905
SVN,2006,20166.532343121398
SVN,2007,21485.780992380998
SVN,2008,22175.2369557321
SVN,2009,20307.618832227301
SVN,2010,20444.120129587602
SVN,2011,20535.4155754108
SVN,2012,19894.869796454801
SVN,2013,19704.218600512799
SVN,2014,20228.708198639099
SVN,2015,20697.274853061899
SVN,2016,21309.712213894902
SVN,2017,22397.763498833701
SVN,2018,23293.966665323002
SVN,2019,23943.1800949889
SVN,2020,22811.805054077799
SWE,1990,34903.348040100602
SWE,1991,34268.974399834602
SWE,1992,33673.848987556397
SWE,1993,32787.281045551797
SWE,1994,33862.422171196697
SWE,1995,35064.413880212902
SWE,1996,35605.453750746601
SWE,1997,36675.750654334297
SWE,1998,38211.723309083201
SWE,1999,39786.027190255503
SWE,2000,41561.774763585701
SWE,2001,42014.402230250598
SWE,2002,42831.758410377399
SWE,2003,43475.365543322099
SWE,2004,45114.670123070799
SWE,2005,46189.682842055503
SWE,2006,48078.352011008399
SWE,2007,49262.152916544997
SWE,2008,48428.658708175099
SWE,2009,45974.3911151254
SWE,2010,48205.549251274198
SWE,2011,49356.590525704698
SWE,2012,48789.790688363697
SWE,2013,48928.499414129103
SWE,2014,49557.618364795897
SWE,2015,51188.165212049302
SWE,2016,51626.3235312369
SWE,2017,51894.374817780801
SWE,2018,52203.087258976098
SWE,2019,53024.409949431698
SWE,2020,51624.581178957298
SWZ,1990,2027.9748189335701
SWZ,1991,1982.4152174278399
SWZ,1992,1969.9608251761299
SWZ,1993,1972.8034062953
SWZ,1994,2020.3848181645201
SWZ,1995,2119.5816361227398
