country,year,Education_Tertiary
MAC,1999,
MAC,2000,
MAC,2001,50.430580139160199
MAC,2002,66.037551879882798
MAC,2003,80.227203369140597
MAC,2004,69.072540283203097
MAC,2005,57.060718536377003
MAC,2006,49.775600433349602
MAC,2007,46.432178497314503
MAC,2008,48.17041015625
MAC,2009,56.214748382568402
MAC,2010,63.404246165759602
MAC,2011,70.346210584547293
MAC,2012,53.934740882917502
MAC,2013,61.861915367483299
MAC,2014,69.298122065727696
MAC,2015,76.1658415841584
MAC,2016,79.924999999999997
MAC,2017,81.265508684863505
MAC,2018,76.793503480278403
MAC,2019,80.091121495327101
MAC,2020,86.795673076923094
MAF,1990,
MAF,1991,
MAF,1992,
MAF,1993,
MAF,1994,
MAF,1995,
MAF,1996,
MAF,1997,
MAF,1998,
MAF,1999,
MAF,2000,
MAF,2001,
MAF,2002,
MAF,2003,
MAF,2004,
MAF,2005,
MAF,2006,
MAF,2007,
MAF,2008,
MAF,2009,
MAF,2010,
MAF,2011,
MAF,2012,
MAF,2013,
MAF,2014,
MAF,2015,
MAF,2016,
MAF,2017,
MAF,2018,
MAF,2019,
MAF,2020,
MAR,1990,10.6727600097656
MAR,1991,10.548259735107401
MAR,1992,10.2783403396606
MAR,1993,10.642609596252401
MAR,1994,10.7795495986938
MAR,1995,11.2644500732422
MAR,1996,
MAR,1997,11.553009986877401
MAR,1998,9.1035203933715803
MAR,1999,9.5448303222656197
MAR,2000,10.146120071411101
MAR,2001,10.5071296691894
MAR,2002,10.6168403625488
MAR,2003,11.041500091552701
MAR,2004,11.135800361633301
MAR,2005,11.69873046875
MAR,2006,12.1653699874878
MAR,2007,11.603919982910201
MAR,2008,12.6373701095581
MAR,2009,13.0986795425415
MAR,2010,13.9896441158412
MAR,2011,15.8539977340994
MAR,2012,19.047228248907299
MAR,2013,22.4068908691406
MAR,2014,25.311241503142199
MAR,2015,28.551913057315399
MAR,2016,32.095257924323903
MAR,2017,33.473543309070301
MAR,2018,35.319186358341
MAR,2019,37.721202138248103
MAR,2020,39.685804757444501
MCO,1990,
MCO,1991,
MCO,1992,
MCO,1993,
MCO,1994,
MCO,1995,
MCO,1996,
MCO,1997,
MCO,1998,
MCO,1999,
MCO,2000,
MCO,2001,
MCO,2002,
MCO,2003,
MCO,2004,
MCO,2005,
MCO,2006,
MCO,2007,
MCO,2008,
MCO,2009,
MCO,2010,
MCO,2011,
MCO,2012,
MCO,2013,
MCO,2014,
MCO,2015,
MCO,2016,53.566799163818402
MCO,2017,
MCO,2018,
MCO,2019,
MCO,2020,
MDA,1990,
MDA,1991,
MDA,1992,
MDA,1993,
MDA,1994,
MDA,1995,
MDA,1996,
MDA,1997,
MDA,1998,
MDA,1999,
MDA,2000,
MDA,2001,
MDA,2002,
MDA,2003,
MDA,2004,
MDA,2005,
MDA,2006,
MDA,2007,
MDA,2008,
MDA,2009,
MDA,2010,38.145363114739702
MDA,2011,39.448043011541898
MDA,2012,40.108641499124097
MDA,2013,41.277170890534499
MDA,2014,52.151516238366
MDA,2015,52.100051911930699
MDA,2016,52.843582378437397
MDA,2017,51.949029139352497
MDA,2018,52.842309205945597
MDA,2019,54.781204803067503
MDA,2020,56.249819661251699
MDG,1990,3.2331900596618599
MDG,1991,3.0056200027465798
MDG,1992,
MDG,1993,3.3256499767303498
MDG,1994,2.7063000202178999
MDG,1995,2.1876099109649698
MDG,1996,2.03707003593445
MDG,1997,1.8317400217056301
MDG,1998,2.0486900806427002
MDG,1999,1.99398005008698
MDG,2000,2.0237300395965598
MDG,2001,1.89465999603272
MDG,2002,1.92859995365143
MDG,2003,2.0998899936675999
MDG,2004,2.4406800270080602
MDG,2005,2.5462899208068901
MDG,2006,2.74632000923157
MDG,2007,3.1345300674438499
MDG,2008,3.2357299327850302
MDG,2009,3.4488999843597399
MDG,2010,3.6103285542536199
MDG,2011,3.99246757065153
MDG,2012,4.0498758355239204
MDG,2013,4.1867200532139996
MDG,2014,4.6853314408228401
MDG,2015,4.6590465223784499
MDG,2016,4.6583858057242997
MDG,2017,5.0752505806979702
MDG,2018,5.1187784920079098
MDG,2019,5.2858600616455096
MDG,2020,5.1733611727584101
MDV,1990,
MDV,1991,
MDV,1992,
MDV,1993,
MDV,1994,
MDV,1995,
MDV,1996,
MDV,1997,
MDV,1998,
MDV,1999,
MDV,2000,
MDV,2001,
MDV,2002,
MDV,2003,0.21356999874115001
MDV,2004,
MDV,2005,
MDV,2006,
MDV,2007,10.327050209045399
MDV,2008,11.3926296234131
MDV,2009,
MDV,2010,
MDV,2011,
MDV,2012,
MDV,2013,
MDV,2014,13.6843761236965
MDV,2015,
MDV,2016,
MDV,2017,33.329498124582898
MDV,2018,
MDV,2019,24.648005968856101
MDV,2020,27.080581241743701
MEX,1990,
MEX,1991,
MEX,1992,
MEX,1993,
MEX,1994,
MEX,1995,
MEX,1996,
MEX,1997,
MEX,1998,
MEX,1999,
MEX,2000,20.5259704589844
MEX,2001,21.377639770507798
MEX,2002,22.3153591156006
MEX,2003,23.0477905273438
MEX,2004,23.703149795532202
MEX,2005,24.130989074706999
MEX,2006,24.5689697265625
MEX,2007,25.1474304199219
MEX,2008,25.7789402008057
MEX,2009,26.2105903625488
MEX,2010,27.167020797729499
MEX,2011,28.036159515380898
MEX,2012,29.3496494293213
MEX,2013,30.3301601409912
MEX,2014,31.2052898406982
MEX,2015,31.971860885620099
MEX,2016,38.589771270752003
MEX,2017,40.339069366455099
MEX,2018,41.638278961181598
MEX,2019,43.044139862060497
MEX,2020,45.165451049804702
MHL,1990,
MHL,1991,
MHL,1992,
MHL,1993,
MHL,1994,
MHL,1995,
MHL,1996,
MHL,1997,
